id_product;name;price;
"298";"Motor Box with 15m Floating Cable";"43610.451306";
"299";"Pool Robot Caddy";"18992.874109";
"300";"Dustbin RoboPhelps";"1805.225653";
"302";"Lawn Robots Virtual Wire";"1900.237530";
"303";"Lawn Robots Pegs";"1710.213777";
"304";"Lawn Robots Blades for RoboTiger 1.0&2.0";"285.035629";
"305";"RoboNicklaus 2.0  Docking Station ";"26510.497238";
"307";"Fingerettes for Wheeme";"265.193370";
"318";"Black Velvet Pouch";"352.707182";
"319";"Screen Guard-M2-6.5"";"172.375691";
"320";"Screen Guard  7.9"";"176.795580";
"321";"Screen Guard M8-9.4"";"198.895028";
"322";"RoboPhelps Remote ";"2365.795724";
"323";"Pool Robot Power Box";"41795.724466";
"325";"CureBot & CloudSniper Docking";"2651.933702";
"326";"D77 Docking Station";"7955.801105";
"329";"CloudSniper & CureBot Dust Filter";"220.994475";
"330";"Dust Filter D63, 66, 68, 77";"220.994475";
"335";"Black Cat Remote 2.0";"1900.237530";
"336";"D63 Virtual Wall";"972.375691";
"337";"D66 Virtual Wall";"972.375691";
"338";"D68 Virtual Wall";"1325.966851";
"339";"D77 Virtual Wall";"1325.966851";
"340";"BlackCat 2.0 Virtual Wall";"950.118765";
"341";"BlackCat2.0 Battery";"4750.593824";
"342";"BlackCat HEPA Filter 2.0";"285.035629";
"343";"RedHawk Dustbin";"0.000000";
"344";"Robo Nicklaus 2.0 Remote";"1325.966851";
"345";"CureBot Remote";"1425.178147";
"346";"CloudSniper Remote";"1425.178147";
"347";"Deebot Remote";"1325.966851";
"351";"CloudSniper  Battery";"5303.867403";
"352";"CureBot Battery";"5303.867403";
"353";"D 63 Battery";"4861.878453";
"354";"D 66 Battery";"5745.856354";
"355";"D 68 Battery";"5745.856354";
"356";"D 77 Battery";"5745.856354";
"357";"CoinSucker  Battery";"662.983425";
"360";"RedHawk2.0-Main Brush";"132.596685";
"361";"CloudSniper  main Brush ";"172.375691";
"362";"CureBot  Main Brush ";"172.375691";
"363";"D 63 Main Brush ";"172.375691";
"364";"D 66 Main Brush";"172.375691";
"365";"D 68 Main Brush ";"172.375691";
"366";"D 77 Main Brush";"172.375691";
"374";"D63, 66, 68 Docking Station";"2651.933702";
"378";"Cloud Sniper Charger";"1900.237530";
"379";"Cure Bot & CloudSniper Charger";"1425.178147";
"381";"Coin Sucker  AC Charger";"441.988950";
"382";"Coin Sucker Car Cigarette Lighter adapter Cord";"662.983425";
"383";"Charger M2 Pro 32GB";"433.149171";
"385";"CureBot Dustbin";"0.000000";
"386";"Cloud Sniper Dustbin";"0.000000";
"387";"D63 Dustbin";"0.000000";
"388";"D66 Dustbin";"0.000000";
"389";"D68 Dustbin";"0.000000";
"390";"D77 Dustbin";"0.000000";
"391";"Coin Sucker Dustbin";"0.000000";
"392";"Robo Tiger 1.0 Battery";"8839.779006";
"394";"RedHawk Side Brush 2.0";"71.258907";
"395";"RoboCop & SuperBot  Rubber Sweeper";"95.011876";
"396";"Charger M2 Pro 16 GB &  8GB";"397.790055";
"397";"Deebot Side Brush ";"132.596685";
"401";"CureBot & CloudSniper Side Brush ";"66.298343";
"403";"M8Pro+Wheeme";"31805.524862";
"404";"M2 32GB+Wheeme";"28269.613260";
"405";"M2Pro 16GB+Wheeme";"24733.701657";
"406";"M2Pro 8GB+Wheeme";"16777.900552";
"407";"Milagrow Power Bank ";"3527.071823";
"408";"Milagrow X2 Wi-Fi TV Dongle";"4411.049724";
"409";"Milagrow M8 Car Tablet Charger 12V";"2643.093923";
"410";"BlackCat2.0 Docking & Scheduling Station";"1591.160221";
"412";"Lawn Robots Blades for Robo Nicklaus2.0";"795.580110";
"413";"Robo Nicklaus 2.0 & Tiger 2.0 Battery";"13259.668508";
"415";"Robo Tiger 2.0 & Tiger 1.0 Docking Station";"22895.027624";
"416";"Lawn Robots Charger for Robo Nicklaus2.0 & Tiger 2.0";"2209.944751";
